epoch,pid,host_cpu_pct,rss_kb,vsz_kb,cpu_time,elapsed_time
1780140085,60285,674.3,1208080,439796400,22:52.19,05:26
1780140086,60285,521.7,1039584,439796400,22:58.39,05:27
1780140087,60285,460.3,1005584,439796400,23:03.31,05:28
1780140088,60285,444.8,1003760,439796400,23:07.97,05:29
1780140089,60285,526.0,1054208,439796400,23:13.27,05:30
1780140090,60285,471.1,1066112,439796400,23:18.18,05:31
1780140091,60285,479.5,1080144,439796400,23:23.05,05:32
1780140092,60285,475.2,1094288,439796400,23:27.87,05:33
1780140093,60285,564.6,1095424,439796400,23:33.68,05:34
1780140094,60285,484.7,1099904,439796400,23:38.90,05:35
1780140095,60285,405.7,1101664,439796400,23:42.93,05:36
1780140096,60285,464.0,1104480,439796400,23:47.63,05:37
1780140097,60285,523.1,1105728,439796400,23:52.43,05:38
1780140098,60285,560.2,1037296,439796400,23:58.14,05:39
1780140099,60285,606.5,1016656,439796400,24:04.09,05:40
1780140100,60285,594.4,860352,439796400,24:10.37,05:41
1780140101,60285,647.4,881760,439796400,24:15.93,05:42
1780140102,60285,693.1,903056,439796400,24:23.03,05:43
1780140103,60285,655.3,931536,439796400,24:29.64,05:44
1780140104,60285,571.3,1020208,439796400,24:35.48,05:45
1780140105,60285,508.0,1022768,439796400,24:40.88,05:46
1780140106,60285,479.6,1042016,439796400,24:45.73,05:47
1780140107,60285,486.2,1047856,439796400,24:50.66,05:48
1780140108,60285,462.2,1084288,439796400,24:55.35,05:49
1780140109,60285,504.0,1182192,439796400,25:00.07,05:50
1780140110,60285,461.7,1174048,439796400,25:04.85,05:51
1780140111,60285,492.3,1167456,439796400,25:09.45,05:52
1780140112,60285,518.2,1161888,439796400,25:14.95,05:53
1780140113,60285,445.0,1061312,439796400,25:19.44,05:54
1780140114,60285,534.3,1016864,439796400,25:24.50,05:55
1780140115,60285,575.4,1072000,439796400,25:30.51,05:56
1780140116,60285,562.8,1107472,439796400,25:36.02,05:57
1780140117,60285,713.4,1121392,439796400,25:42.69,05:58
1780140118,60285,588.7,1098160,439796400,25:49.54,05:59
1780140119,60285,628.4,1082176,439796400,25:56.04,06:00
1780140120,60285,487.5,1105360,439796400,26:01.09,06:01
1780140121,60285,519.4,1181184,439796400,26:06.64,06:02
1780140122,60285,445.5,1122608,439796400,26:11.39,06:03
1780140123,60285,298.3,1112464,439796400,26:14.93,06:04
1780140124,60285,195.0,1241648,439796400,26:17.47,06:05
1780140125,60285,326.9,1254864,439796400,26:20.37,06:06
1780140126,60285,631.8,1265568,439796400,26:26.15,06:07
1780140127,60285,569.8,1264400,439796400,26:32.03,06:08
1780140128,60285,570.1,1262960,439796400,26:37.96,06:09
1780140129,60285,485.3,1272272,439796400,26:42.96,06:10
